drug_name,atc,summary,Persistence,Bioaccumulation,Toxicity,Risk
iopromide,V08AB05,SummaryHazard 3 , 3 , 0 , 0 , Insignificant 
ioversol,V08AB07,SummaryHazard - , - , - , - , Cannot be excluded 
ioxaglicacid,V08AB03,SummaryHazard - , - , - , - , Cannot be excluded 
ipilimumab,L01XC11,SummaryHazard - , - , - , - , Exempt Ipilimumab is a human monoclonal antibody. 
irbesartan,C09CA04,SummaryThis summary information on persistence and toxicity comes from Fass. Information on bioaccumulation and risk comes from the report by Goodpoint. , Irbesartan is slowly degraded in the environment, Data indicate high potential for bioconcentration in biota, Irbesartan has low chronic toxicity, See the report by Goodpoint. Suggestions on how to reduce the emissions of irbesartan
irinotecan,L01XX19,SummaryHazard - , - , - , - , Cannot be excluded 
isoflurane,N01AB06,SummaryHazard - , - , - , - , Cannot be excluded 
isoniazid,J04AC01,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded 
isosorbidemononitrate,C01DA14,Summary," It cannot be excluded that isosorbide mononitrate is persistent, due to the lack of data", Isosorbide mononitrate has low potential for bioaccumulation, Isosorbide mononitrate has moderate acute toxicity, 
isotretinoin,D10BA01,Summary, No data, No data, No data, Cannot be excluded. Environmental information for isotretinoin is not available on Fass.se (2020-10-06). It is voluntary for manufacturers to publish environmental impact information on Fass.se
isradipine,C08CA03,SummaryHazard 9 , 3 , 3 , 3 , Insignificant 
itraconazole,J02AC02,SummaryHazard 6 , 3 , 3 , 0 , Insignificant
ketamine,N01AX03,SummaryThis summary information comes from Fass. ," It cannot be excluded that ketamine is persistent, due to the lack of data"," It cannot be excluded that ketamine bioaccumulates, due to the lack of data"," It cannot be excluded that ketamine is toxic, due to the lack of data", 
ketoconazole,D01AC08,Summary, Ketoconazole is potentially persistent, Ketoconazole has high potential for bioaccumulation, Ketoconazole has very high chronic toxicity," The use of ketoconazole has been considered to result in low environmental risk. However, ketoconazole is as a potentially endocrine disruptor according to the assessment report. The data on hazard are based on previous environmental information on fass.se. Environmental information is missing (2022-06-30). It is voluntary for manufacturers to provide information about environmental impact on fass.se. The risk comes from the report by Goodpoint"
ketoprofen,M01AE03,Summary, Ketoprofen is potentially persistent, Ketoprofen has low potential for bioaccumulation, Ketoprofen has high chronic toxicity," The use of ketoprofen (sales data Sweden 2018) has been considered to result in low environmental risk. This summary information comes from Fass. According to the report from Goodoint 2016: Large margin between concentrations in the environment and the concentration that affects the environment from a Swedish perspective. However, ketoprofen appears to accumulate more in fish if exposure is effected through wastewater. The possibility is that the risk is underestimated"
ketorolac,S01BC05,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
ketotifen,S01GX08,SummaryEnvironmental information on ketotifen is missing on fass.se (2021-10-15). It is voluntary for manufacturers to provide information about environmental impact on fass.se.,see summary,see summary,see summary,see summary
labetalol,C07AG01,Summary," It cannot be excluded that labetalol is persistent, due to the lack of data"," It cannot be excluded that labetalol bioaccumulates, due to the lack of data"," It cannot be excluded that labetalol is toxic, due to the lack of data", 
lactitol,A06AD12,SummaryHazard - , - , - , - , Exempt 
lactulose,A06AD11,SummaryRisk. The use of carbohydrates is not considered to cause any environmental impact. This summary information comes from Fass.,see summary,see summary,see summary,see summary
lamivudine,J05AF05,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
lamotrigine,N03AX09,"SummaryThis summary information on persistence, biockumulation and toxicity comes from Fass. The risk comes from the Goodpoint report. ", Lamotrigine is potentially persistent, Lamotrigine has low potential for bioaccumulation, Lamotrigine has low chronic toxicity, See the Goopoint report
lanreotide,H01CB03,SummaryHazard - , - , - , - , See below 
lansoprazole,A02BC03,SummaryHazard 4 , 3 , 0 , 1 , Cannot be excluded 
latanoprost,S01EE01,Summary," It cannot be excluded that latanoprost is persistent, due to the lack of data", Latanoprost has low potential for bioaccumulation," It cannot be excluded that latanoprost is toxic, due to the lack of data", 
leflunomide,L04AA13,SummaryHazard 5 , 3 , 0 , 2 , Insignificant
lenograstim,L03AA10,SummaryHazard - , - , - , - , Exempt 
lercanidipine,C08CA13,Summary," It cannot be excluded that lercanidipine is persistent, due to the lack of data", Lercanidipine has high potential for bioaccumulation," It cannot be excluded that lercanidipine is toxic, due to the lack of data", 
letrozole,L02BG04,Summary, Letrozole is potentially persistent, Letrozole has low potential for bioaccumulation, Letrozole has very high chronic toxicity, The use of letrozole (sales data Sweden 2018) has been considered to result in insignificant environmental risk. This summary information comes from Fass
leuprorelin,L02AE02,SummaryHazard - , - , 0 , - , Cannot be excluded Underlying data for 
levetiracetam,N03AX14,"SummaryThis summary information on persistence, biockumulation and toxicity comes from Fass UCB Nordic. The risk comes from the Goodpoint report. ", Levetiracetam is potentially persistent, Levetiracetam has low potential for bioaccumulation, Levetiracetam has moderate acute toxicity, No obvious environmental risk from a Swedish perspective
levobupivacaine,N01BB10,SummaryHazard - , - , 0 , - , Cannot be excluded Levobupivacaine is the S(-)enantiomer of the racemate bupivacaine. Underlying data for 
levocabastine,R01AC02,SummaryThe data on hazard and risk on levocabastine are based on previous environmental information on fass.se (2011-11-23). Environmental information is missing on fass.se (2021-10-15). It is voluntary for manufacturers to provide information about environmental impact on fass.se. , Levocabastine is potentially persistent, Levocabastine has no significant bioaccumulation potential, Levocabastine has moderate acute toxicity, The use of levocabastine (sales data Sweden 2010) has been considered to result in insignificant environmental risk
levofloxacin,J01MA12,SummaryHazard - , - , 0 , - , Insignificant
levomepromazine,N05AA02,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded
levonorgestrel,G03AD01,"SummaryThis summary information on persistence, toxicity and risk comes from Fass. The risk is also supported by the reports from Goodpoint. Information on bioaccumulation comes from the reports from Goodpoint. "," Levonorgestrel is persistent. See comment below on ""potential peristence"" under Fass environmental information"," Levonorgestrel is below the limit value for high potential to bioaccumulate, but the substance binds to Sex Hormone Binding Globulin (SHBG) and just binding to SHBG is assumed to contribute to the exceptionally high bioconcentration ability (and thus potency) observed in fish for levonorgestrel", Levonorgestrel has very high chronic toxicity, The use of levonorgestrel (sales data Sweden 2019) has been judged to entail a high risk of environmental impact. Suggestions on how to reduce the emissions of levonorgestrel
lidocaine,C05AD01,SummaryThis summary information comes from Fass. Information on bioaccumulation can also be found in the assessment report Lidocaine/Prilocaine Plethora, Lidocaine is potentially persistent, Lidocaine has low potential for bioaccumulation, Lidocaine has moderate acute toxicity, The use of lidocaine (sales data Sweden 2020) has been considered to result in insignificant environmental risk
linaclotide,A06AX04,"SummaryThis summary information comes from the assessment report. Linaclotide is a peptide. A general exemption from an environmental risk assessment is granted for peptides in guideline (EMEA/CHMP/SWP/4447/00). However, these assumptions are not true for linaclotide. See further information under the heading detailed information. ", No data, ,0.0,0.0
linagliptin,A10BH05,Summary, Linagliptin is considered to be slowly degraded in the environment, Linagliptin has low potential for bioaccumulation, Linagliptin has low chronic toxicity, The use of linagliptin (sales data Sweden 2019) has been considered to result in insignificant environmental risk. This summary information comes from Fass
linezolid,J01XX08,SummaryHazard - , - , - , - , Cannot be excluded
lipegfilgrastim,L03AA14,SummaryHazard - , - , - , - , Cannot be excluded 
liraglutide,A10BX07,"SummaryThe active substance liraglutide is a peptide and is not considered to have any environmental impact. However, Fass writes the following: Even though biomolecules, such as vaccines and hormones, are exempted they should still be regarded as biologically active. This summary information comes from assessement reports and Fass.se.",see summary,see summary,see summary,see summary
lisinopril,C09AA03,SummaryHazard 3 , 3 , 0 , 0 , Low 
lithium,N05AN01,SummaryHazard - , - , - , - , Exempt 
lixisenatide,A10BX10,SummaryHazard - , - , - , - , See below 
lomustine,L01AD02,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se (2019-04-26). It is voluntary for manufacturers to provide information about environmental impact on fass.se
loperamide,A07DA03,Summary," It cannot be excluded that loperamide is persistent, due to the lack of data"," It cannot be excluded that loperamide bioaccumulates, due to the lack of data"," It cannot be excluded that loperamide is toxic, due to the lack of data", The use of loperamide has been considered to result in low risk of environmental impact (2016). Environmental information is missing on fass.se for loperamide (2023-01-23). It is voluntary for manufacturers to provide information on environmental impact on fass.se. 
loratadine,R06AX13,SummaryHazard 5 , 3 , 0 , 2 , Low 
lorazepam,N05BA06,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se (2019-03-13). It is voluntary for manufacturers to provide information about environmental impact on fass.se
losartan,C09CA01,SummaryThis summary information on persistence and toxicity comes from Fass. Information on bioaccumulation and risk comes from the report by Goodpoint. , Losartan is potentially persistent, Losartan has high potential for bioaccumulation, Losartan has low chronic toxicity, See the report from Goodpoint
lutropinalfa,G03GA07,SummaryHazard - , - , - , - , Exempt
lymecycline,J01AA04,SummaryRisk. See the report from Goodpoint. Environmental information is missing on fass.se for lymecycline (2022-08-17). It is voluntary for manufacturers to provide information on environmental impact on fass.se. Lymphcycline is rapidly hydrolysed to active tetracycline upon absorption. See also tetracycline.,see summary,see summary,see summary,see summary
lynestrenol,G03AC02,SummaryHazard - , - , 3 , - , Cannot be excluded  Underlying data are from Fass
macitentan,C02KX04,SummaryHazard - , - , 0 , - , Cannot be excluded 
macrogol,A06AD15,Summary, Macrogol is degraded in the environment, Macrogol has low potential for bioaccumulation, Macrogol has low chronic toxicity, The use of macrogol (sales data Sweden 2018) has been considered to result in low environmental risk.This summary information comes from Fass
magnesiumchloride,A12CC01,SummaryHazard - , - , - , - , Exempt According to the European Medicines Agency guideline on environmental risk assessments for pharmaceuticals (EMA/CHM
mangafodipir,V08CA05,SummaryHazard 4 , 3 , 0 , 1 , Cannot be excluded 
maprotiline,N06AA21,SummaryHazard 6 , 3 , 0 , 3 , Cannot be excluded 
mebendazole,P02CA01,SummaryHazard 6* , 3* , 0 , 3 , Insignificant 
meclozine,R06AE05,SummaryEnvironmental information is missing on fass.se (2020-11-05). It is voluntary for manufacturers to provide information about environmental impact on fass.se. The risk comes from the report by Goodpoint. , No data, No data, No data, See the report from Goodpoint. Suggestions on how to reduce the emissions of meclozine
mefloquine,P01BC02,SummaryHazard 6 , 3 , 0 , 3 , Insignificant
megestrol,L02AB01,SummaryHazard 9 , 3 , 3 , 3 , Cannot be excluded 
melatonin,N05CH01,SummaryThis summary information comes from Fass and data on bioaccumulation also from the assessment report for Slenyto (melatonin). ," It cannot be excluded that melatonin is persistent, due to the lack of data", Melatonin has low potential for bioaccumulation," It cannot be excluded that melatonin is toxic, due to the lack of data", 
meloxicam,M01AC06,SummaryHazard 4 , 3 , 0 , 1 , Insignificant 
melperone,N05AD03,SummaryHazard - , - , - , - , Cannot be excluded Environmental information for melperone is not available on Fass.se (2019-03-13). It is voluntary for manufacturers to publish environmental impact information on Fass.se
melphalan,L01AA03,SummaryHazard 2* , 0 , 0 , 2* , Cannot be excluded 
memantine,N06DX01,SummaryThe risk comes from the Goodpoint report. , No data, No data, No data, Low environmental risk. Environmental information is missing on fass.se for memantine (2021-04-07). It is voluntary for manufacturers to provide information on environmental impact on fass.se
mepivacaine,N01BB03,SummaryHazard 4* , 3* , 0 , 1* , Cannot be excluded
mercaptopurine,L01BB02,SummaryHazard 4* , 3 , 0 , 1* , Cannot be excluded 
meropenem,J01DH02,SummaryHazard 6 , 3 , 0 , 3 , Insignificant
mesalazine,A07EC02,Summary," It cannot be excluded that mesalazine is persistent, due to the lack of data", Mesalazine has low potential for bioaccumulation," It cannot be excluded that mesalazine is toxic, due to the lack of data", 
metformin,A10BA02,Summary, Metformin is slowly degraded in the environment, Metformin has low potential for bioaccumulation, Metformin has moderate chronic toxicity," The use of metformin in Sweden has been considered to result in low environmental risk. This summary information about persistence and bioaccumulation for metformin is from the assessment report Segluromet (ertugliflozin/metformin hydrochloride) 25 January 2018, EMA/86928/2018 and Fass. Information about toxicity comes from Fass environmental information for Komboglyze. The risk comes from the report of Goodpoint. Metformin is included on the watch list of substances for Union-wide monitoring in the field of water policy pursuant to Directive 2008/105/EC of the European Parliament and of the Council"
methadone,N07BC02,SummaryHazard - , - , 0 , - , Cannot be excluded 
methenamine,J01XX05,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
methotrexate,L01BA01,Summary," It cannot be excluded that methotrexate is persistent, due to the lack of data", Methotrexate has low potential for bioaccumulation, Methotrexate has high acute toxicity, Exceptional good margin between exposure based on Swedish conditions and  and known effect level. Data as basis for B and T are from the assessment report for Jylamvo. The information about B is also supported by Fass. The risk comes from the report by Goodpoint 2016
methylaminolevulinate,L01XD03,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded
methylergometrine,G02AB01,Summary," It cannot be excluded that methylergometrine is persistent, due to the lack of data"," It cannot be excluded that methylergometrine bioaccumulates, due to the lack of data"," It cannot be excluded that methylergometrine is toxic, due to the lack of data", 
methylphenidate,N06BA04,"SummaryThis summary information comes from various Fass texts, see under detailed information, including previously published information. ", Methylphenidate is potentially persistent, Methylphenidate has low potential for bioaccumulation, Methylphenidate has high acute toxicity, The use of methylphenidate (sales data Sweden 2019) has been considered to result in insignificant environmental risk
methylprednisolone,H02AB04,Summary," It cannot be excluded that methylprednisolone is persistent, due to the lack of data"," It cannot be excluded that methylprednisolone bioaccumulates, due to the lack of data"," It cannot be excluded that methylprednisolone is toxic, due to the lack of data", 
metoclopramide,A03FA01,Summary, Metoclopramide is potentially persistent, Metoclopramide has low potential for bioaccumulation, Metoclopramide has moderate acute toxicity, The use of metoclopramide (sales data Sweden 2019) has been considered to result in insignificant environmental risk. This summary information comes from Fass
metoprolol,C07AB02,SummaryThis summary information comes from Fass. The risk is also confirmed by the investigation from Goodpoint. , Metoprolol is potentially persistent, Metoprolol has low potential for bioaccumulation, Metoprolol has moderate acute toxicity, The use of metoprolol (sales data Sweden 2017) has been considered to result in low environmental risk
metronidazole,J01XD01,Summary, Metronidazole is potentially persistent, Metronidazole has low potential for bioaccumulation, Metronidazole has low chronic toxicity," See the report from Goodpoint 2018. This summary information about hazard comes from Fass.The information about risk is from the report from Goodpoint 2018, see below"
mianserin,N06AX03,SummaryHazard - , - , 0 , - , Cannot be excluded In Sweden mianserin has been found in low concentrations. 
miconazole,G01AF04,SummaryEnvironmental information is missing on fass.se for miconazole (2021-09-21). It is voluntary for manufacturers to provide information on environmental impact on fass.se. This summary information is based on previous environmental information on fass.se. Miconazole is monitored within the framework of EU water legislation. , Miconazole is potentially persistent, Miconazole has high potential for bioaccumulation, Miconazole has high chronic toxicity, The use of miconazole (sales data Sweden 2015) has been considered to result in low environmental risk
midazolam,N05CD08,Summary," The potential for persistence of midazolam cannot be excluded, due to lack of data", Midazolam has high potential for bioaccumulation," It cannot be excluded that midazolam is toxic, due to the lack of data", 
mifepristone,G03XB01,Summary, Mifepristone is degraded in the environment, Mifepristone has low potential for bioaccumulation, Mifepristone has very high chronic toxicity, The use of mifepristone (sales data Sweden 2020) has been considered to result in insignificant environmental risk. This summary information comes from Fass
milrinone,C01CE02,SummaryHazard 4* , 3 , 0 , 1* , Cannot be excluded 
minoxidil,D11AX01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
mirabegron,G04BD12,SummaryHazard 0 , 0 , 0 , 0 , Insignificant 
mirtazapine,N06AX11,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from Fass. For the risk, see the report by Goodpoint. ", Mirtazapine is slowly degraded in the environment, Mirtazapine has low potential for bioaccumulation, Mirtazapine has moderate chronic toxicity, See the report by Goodpoint
misoprostol,A02BB01,Summary," It cannot be excluded that misoprostol is persistent, due to the lack of data"," It cannot be excluded that misoprostol bioaccumulates, due to the lack of data"," It cannot be excluded that misoprostol is toxic, due to the lack of data", 
mitomycin,L01DC03,SummaryHazard 6 , 3 , 0 , 3 , Cannot be excluded 
mitoxantrone,L01DB07,SummaryHazard - , - , 0 , - , Cannot be excluded Underlying data for 
mizolastine,R06AX25,SummaryHazard - , - , - , - , Cannot be excluded 
moclobemide,N06AG02,SummaryHazard 4 , 3 , 0 , 1 , Cannot be excluded Underlying data for 
modafinil,N06BA07,SummaryHazard - , - , 0 , - , Cannot be excluded 
montelukast,A10BX10,SummaryThis summary information comes from Fass. , Montelukast is potentially persistent, Montelukast has high potential for bioaccumulation, Montelukast has high chronic toxicity, The use of montelukast (sales data Sweden 2018) has been considered to result in insignificant environmental risk
morphine,N02AA01,Summary," It cannot be excluded that morphine is persistent, due to the lack of data", Morphine has low potential for bioaccumulation," It cannot be excluded that morphine is toxic, due to the lack of data", 
moxifloxacin,J01MA14,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded 
moxonidine,C02AC05,SummaryHazard 5 , 3 , 0 , 2 , Insignificant
mupirocin,R01AX06,SummaryHazard 3* , 3* , 0 , 0* , Cannot be excluded
mycophenolicacid,L04AA06,Summary, Mycophenolic acid is slowly degraded in the environment, Mycophenolic acid has low potential for bioaccumulation, Mycophenolic acid has very high chronic toxicity, The use of mycophenolic acid (sales data Sweden 2021) has been considered to result in moderate environmental risk. This summary information comes from Fass
nabumetone,M01AX01,SummaryHazard - , - , 0 , - , Cannot be excluded
nafarelin,H01CA02,"SummaryRisk: Use of amino acids, proteins and peptides is not considered to cause any environmental impact. This summary information comes from Fass.",see summary,see summary,see summary,see summary
naloxone,V03AB15,SummaryHazard 4 , 3 , 0 , 1 , Cannot be excluded 
naltrexone,N07BB04,Summary," It cannot be excluded that naltrexone is persistent, due to the lack of data"," It cannot be excluded that naltrexone bioaccumulates, due to the lack of data"," It cannot be excluded that naltrexone is toxic, due to the lack of data", 
nandrolone,A14AB01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
naphazoline,S01GA01,SummaryHazard 7* , 3 , 3* , 1* , Cannot be excluded 
naproxen,M01AE02,"SummaryThis summary information about persistence, bioaccumulation and toxicity comes from Fass. The risk comes from the reports by Goodpoint. ", Naproxen is slowly degraded in the environment, Naproxen has low potential for bioaccumulation, Naproxen has high chronic toxicity, The use of naproxen has been considered to result in low environmental risk (year 2019)
naratriptan,N02CC02,SummaryHazard 3 , 3 , 0 , 0 , Insignificant 
natalizumab,L04AA23,SummaryHazard - , - , - , - , Exempt 
nelarabine,L01BB07,SummaryHazard 3 , 3 , 0 , 0 , Insignificant
neostigmine,N07AA01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
nepafenac,S01BC10,SummaryHazard - , - , 0 , - , Cannot be excluded 
netilmicin,J01GB07,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
nevirapine,J05AG01,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
niclosamide,P02DA01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
nicotine,N07BA01,SummaryHazard 3 , 0 , 0 , 3 , Low 
nifedipine,C08CA05,SummaryHazard 5* , 3 , 0 , 2* , Cannot be excluded 
nilotinib,L01XE08,SummaryHazard 6 , 3 , 0 , 3 , See below 
nintedanib,L01XE31,SummaryHazard 6 , 3 , 0 , 3 , Insignificant 
nitrazepam,N05CD02,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
nitrofurantoin,J01XE01,Summary," It cannot be excluded that nitrofurantoin is persistent, due to the lack of data", Nitrofurantoin has a low potential to bioaccumulate," It cannot be excluded that nitrofurantoin is toxic, due to the lack of data"," Nitrofurantoin is considered to have a low environmental risk, both for eukaryotes (including fish) and bacteria (including risk of selection for antibiotic resistance), even if use were to increase significantly in Sweden.This hazard summary information comes from Fass. The risk comes from the report by Goodpoint.For antibiotics in general, it is recommended that these pharmaceuticals are used as restrictively as possible without jeopardise the patient's health"
nivolumab,L01XC17,SummaryHazard - , - , - , - , Exempt
nomegestrol,G03DB04,Summary, Nomegestrol acetate is potentially persistent, Nomegestrol acetate has low potential for bioaccumulation, Nomegestrol acetate has very high chronic toxicity, The use of nomegestrol acetate (sales data Sweden 2018) has been considered to result in insignificant environmental risk. This summary information comes from Fass
norepinephrine,C01CA03,SummaryHazard - , - , 0 , - , Cannot be excluded 
norethisterone,G03DC02,SummaryThis summary information comes from Fass (Bayer). , Norethisterone is potentially persistent, Norethisterone has low potential for bioaccumulation, Norethisterone has very high chronic toxicity, The use of norethisterone (sales data Sweden 2018) has been considered to result in moderate/high environmental risk
norfloxacin,S01AE02,"SummaryAll medicinal products with norfloxacin have been withdrawn from the Swedish market. Previously, there was some risk for the selection of antibiotic resistant bacteria in wastewater treatment plants in Sweden.Studies have shown that even low concentrations of antibiotics in the environment may trigger antibiotic resistance and should therefore be taken to ensure that as little as possible end up in our environment.",see summary,see summary,see summary,see summary
nortriptyline,N06AA10,Summary," It cannot be excluded that nortriptyline is persistent, due to the lack of data"," It cannot be excluded that nortriptyline bioaccumulates, due to the lack of data"," It cannot be excluded that nortriptyline is toxic, due to the lack of data", 
noscapine,R05DA07,SummaryHazard - , - , 0 , - , Cannot be excluded
nystatin,A07AA02,Summary," It cannot be excluded that nystatin is persistent, due to the lack of data"," It cannot be excluded that nystatin bioaccumulates, due to the lack of data"," It cannot be excluded that nystatin is toxic, due to the lack of data", 
octreotide,H01CB02,SummaryHazard - , - , - , - , See below 
ofloxacin,J01MA01,"SummaryOnly Ofloxacin mibe eye drops has marketing authorisation in Sweden, but the medinal product is not currently available according to Fass.se (2022-11-16). There is no environmental information on Fass.se.Ofloxacin is included on the watch list of substances for Union-wide monitoring in the field of water policy pursuant to Directive 2008/105/EC of the European Parliament and of the Council.Ofloxacin is a racemate. One of the enantiomers is levofloxacin (S-enantiomer). Therefore, see also environmental information for levofloxacin.",see summary,see summary,see summary,see summary
olaparib,L01XX46,SummaryHazard 4* , 3 , 0 , 1* , Insignificant NO
olopatadine,S01GX09,SummaryHazard - , - , 0 , - , Cannot be excluded
omalizumab,R03DX05,SummaryHazard - , - , - , - , Exempt
omeprazole,A02BC01,SummaryThis summary information comes from Fass. The risk is supported by the report from Goodpoint. , Omeprazole is potentially persistent, Omeprazole has low potential for bioaccumulation, Esomeprazole* has moderate chronic toxicity, The use of omeprazole in Sweden has been considered to result in insignificant environmental risk (year 2019). *Esomeprazole is the S-enantiomer of the racemate omeprazole. See also esomeprazole
ondansetron,A04AA01,Summary, Ondansetron is potentially persistent, Ondansetron low potential for bioaccumulation, Ondansetron has moderate chronic toxicity, The use of ondansetron (sales data Sweden 2018) has been considered to result in insignificant environmental risk. This summary information comes from Fass
orlistat,A08AB01,SummaryHazard 8 , 3 , 3 , 2 , Insignificant 
oseltamivir,J05AH02,SummaryThis summary information comes from Fass. , Oseltamivir is potentially persistent, Oseltamivir has low potential for bioaccumulation, Oseltamivir has moderate chronic toxicity, The use of oseltamivir (sales data Sweden 2017) gives the risk insignificant
oxaliplatin,L01XA03,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded 
oxazepam,N05BA04,SummaryThis summary information comes from Fass with the exception of risk. The information on risk comes from the report by Goodpoint. , No data, No data, No data, See the report from Goodpoint. Suggestions on how to reduce the emissions of oxazepam
oxcarbazepine,N03AF02,"SummaryThis summary information on persistence, biockumulation and toxicity comes from Fass. The risk comes from the Goodpoint report. ", Oxcarbazepine is potentially persistent, Oxcarbazepine has low potential for bioaccumulation, Oxcarbazepine has moderate acute toxicity, No obvious environmental risk from a Swedish perspective
oxybutynin,G04BD04,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
oxycodone,N02AA05,Summary," It cannot be excluded that oxycodone is persistent, due to the lack of data", Oxycodone has low potential for bioaccumulation," It cannot be excluded that oxycodone is toxic, due to the lack of data", 
oxymetazoline,S01GA04,SummaryHazard 5* , 3* , 0 , 2* , Cannot be excluded 
oxytetracycline,J01AA06,Summary," It cannot be excluded that oxytetracycline is persistent, due to the lack of data"," It cannot be excluded that oxytetracycline bioaccumulates, due to the lack of data"," It cannot be excluded that oxytetracycline is toxic, due to the lack of data", 
oxytocin,H01BB02,Summary," It cannot be excluded that oxytocin is persistent, due to the lack of data"," It cannot be excluded that oxytocin bioaccumulates, due to the lack of data"," It cannot be excluded that oxytocin is toxic, due to the lack of data", 
paclitaxel,L01CD01,SummaryHazard 6* , 0 , 3 , 3* , Cannot be excluded 
paliperidone,N05AX13,SummaryHazard 4 , 3 , 0 , 1 , Insignificant 
palonosetron,A04AA05,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
pamidronicacid,M05BA03,Summary," It cannot be excluded that pamidronic acid is persistent, due to the lack of data"," It cannot be excluded that pamidronic acid bioaccumulates, due to the lack of data"," It cannot be excluded that pamidronic acid is toxic, due to the lack of data", 
pancuronium,M03AC01,SummaryHazard - , - , 0 , - , Cannot be excluded
panitumumab,L01XC08,SummaryHazard - , - , - , - , Exempt
pantoprazole,A02BC02,SummaryHazard 4 , 3 , 0 , 1 , Insignificant 
papaverine,A03AD01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
paracetamol,N02BE01,SummaryThis summary information on bioaccumulation and toxicity comes from Fass (Panocod). The information on persistence comes from previous environmental information in Fass (Alvedon forte). The risk comes from the report by Goodpoint. Data on bioaccumulation are also supported by the report from Goodpoint. , Paracetamol is not considered to be persistent, Paracetamol has low potential for bioaccumulation, Paracetamol has moderat chronic toxicity, The use of paracetamol has been considered to result in insignificant environmental risk
parathyroidhormone,H05AA03,SummaryHazard - , - , - , - , Exempt 
paroxetine,N06AB05,SummaryHazard 6 , 3 , 0 , 3 , See below 
pegaptanib,S01LA03,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
pegfilgrastim,L03AA13,SummaryHazard - , - , - , - , Exempt
pegvisomant,H01AX01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se (2019-06-14). It is voluntary for manufacturers to provide information about environmental impact on fass.se
pembrolizumab,L01XC18,SummaryHazard - , - , - , - , Exempt
pemetrexed,L01BA04,SummaryHazard 1 , 0 , 0 , 1 , Insignificant 
penciclovir,D06BB06,SummaryHazard 3* , 3 , 0 , 0* , Insignificant
pentoxyverine,R05DB05,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se (datum). It is voluntary for manufacturers to provide information about environmental impact on fass.se
permethrin,P03AC04,SummaryHazard 9 , 3 , 3 , 3 , Moderate 
perphenazine,N05AB03,SummaryHazard - , - , 3 , - , Cannot be excluded
pethidine,N02AB02,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
phenoxymethylpenicillin,J01CE02,Summary," It cannot be excluded that phenoxymethylpenicillin is persistent, due to the lack of data", Phenoxymethylpenicillin has low potential for bioaccumulation," It cannot be excluded that phenoxymethylpenicillin is toxic, due to the lack of data", 
phentolamine,C04AB01,Summary," It cannot be excluded that phentolamine is persistent, due to the lack of data"," It cannot be excluded that phentolamine bioaccumulates, due to the lack of data"," It cannot be excluded that phentolamine is toxic, due to the lack of data", 
phenytoin,N03AB02,No recorded data,see summary,see summary,see summary,see summary
phytomenadione,B02BA01,No recorded data,see summary,see summary,see summary,see summary
pilocarpine,S01EB01,No recorded data,see summary,see summary,see summary,see summary
pimecrolimus,D11AH02,Summary," It cannot be excluded that pimecrolimus is persistent, due to the lack of data"," It cannot be excluded that pimecrolimus bioaccumulates, due to the lack of data"," It cannot be excluded that pimecrolimus is toxic, due to the lack of data", 
